id,parent,name,subtitle,url,styleClass,img
1,,Juan Pérez,El hijo más reciente,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
2,1,Marta Pérez,Primera hija,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
3,1,Carlos Pérez,Primer hijo,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
4,2,Ana Pérez,Primera nieta,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
5,2,Pedro Pérez,Segundo nieto,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
6,3,Luis Pérez,Segundo hijo,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
7,3,Laura Pérez,Tercera hija,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
8,4,Clara Pérez,Tercera nieta,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
9,4,Diego Pérez,Cuarto nieto,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
10,5,Valentina Pérez,Quinta nieta,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
11,5,Santiago Pérez,Sexto nieto,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
12,6,Isabel Pérez,Cuarta hija,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
13,6,Andrés Pérez,Quinto hijo,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
14,7,Patricia Pérez,Sexta hija,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
15,7,Roberto Pérez,Séptimo hijo,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
16,8,María Pérez,Ochoa nieta,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
17,8,José Pérez,Nueve nieto,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
18,9,Lucía Pérez,Décima nieta,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
19,9,Emilio Pérez,Undécimo nieto,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
20,10,Esteban Pérez,Dodécimo nieto,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
21,10,Silvia Pérez,Treceava nieta,https://swanix.org/diagrams/lib/form.svg,family-node,https://swanix.org/diagrams/lib/form.svg
