#
# namespace: org-chart-
# ignore: id,image,fill,stroke,refs,manager
# connect: {"from": "manager", "to": "name", "invert": true, "label": "", \
#          "style": "orthogonal=1;endArrow=none;endFill=1;fontSize=11;edgeStyle=elbowEdgeStyle;elbow=vertical;strokeColor=#C2C9D6;"}
# connect: {"from": "refs", "to": "id", "style": "orthogonal=1;fontSize=11;strokeColor=#C2C9D6;"}
# label: %name%<br><small style="color:gray;font-size:7;font-weight:normal">%position%<br>%location%</small>
# style: label;whiteSpace=wrap;html=1;align=center;spacingTop=68;spacingLeft=0;spacingBottom=8;imageAlign=center;imageVerticalAlign=top;image=%image%;rounded=1;arcSize=8;shadow=0;fillColor=%fill%;strokeColor=#C2C9D6;imageWidth=64;imageHeight=64;resizable=0;
# parentstyle: swimlane;whiteSpace=wrap;html=1;childLayout=stackLayout;horizontal=0;horizontalStack=0;resizeParent=1;resizeLast=0;collapsible=1;
# width: 160
# height: 140
# padding: 16
# link: 
# nodespacing: 80
# levelspacing: 100
# edgespacing: 40
# layout: verticaltree
#
## ---- CSV below this line. First line are column names. ----
name,position,manager,location,email,image,url,fill,stroke,refs,id
Alan Roberts,CEO,,USA,email@company.com,https://swanix.org/diagrams/src/people/man01.png,,#FFFFFF,#B3B3B3,,
Tim Watson,CTO,Alan Roberts,USA,email@company.com,https://swanix.org/diagrams/src/people/man02.png,,#FFFFFF,#B3B3B3,,
Carl Reynolds,Developer,Tim Watson,USA,email@company.com,https://swanix.org/diagrams/src/people/man03.png,,#FFFFFF,#B3B3B3,,
Kelsie Weeks,Developer,Tim Watson,USA,email@company.com,https://swanix.org/diagrams/src/people/woman01.png,,#FFFFFF,#B3B3B3,,
Kathie Maxwell,Product Director,Alan Roberts,USA,email@company.com,https://swanix.org/diagrams/src/people/woman02.png,,#FFFFFF,#B3B3B3,,
Richard River,Product Leader,Kathie Maxwell,USA,email@company.com,https://swanix.org/diagrams/src/people/man04.png,,#FFFFFF,#B3B3B3,,
Angela Duke,Product Leader,Kathie Maxwell,USA,email@company.com,https://swanix.org/diagrams/src/people/woman03.png,,#FFFFFF,#B3B3B3,,
Simon Fox,Design Director,Alan Roberts ,USA,email@company.com,https://swanix.org/diagrams/src/people/man05.png,,#FFFFFF,#B3B3B3,,
Karina Newman,Designer,Simon Fox,USA,email@company.com,https://swanix.org/diagrams/src/people/woman04.png,,#FFFFFF,#B3B3B3,,
Ryan Duran,Designer,Simon Fox,USA,email@company.com,https://swanix.org/diagrams/src/people/man06.png,,#FFFFFF,#B3B3B3,,
Mia Winters,Marketing Director,Alan Roberts,USA,email@company.com,https://swanix.org/diagrams/src/people/woman05.png,,#FFFFFF,#B3B3B3,,
Sarah Bartlett,Marketing Leader,Mia Winters,USA,email@company.com,https://swanix.org/diagrams/src/people/woman06.png,,#FFFFFF,#B3B3B3,,
Lauren Wilkins,Marketing Leader,Mia Winters,USA,email@company.com,https://swanix.org/diagrams/src/people/woman07.png,,#FFFFFF,#B3B3B3,,
